SurveyID,Age,Gender,Type,Education,Income,Employed,FullPart,@1OwnCell,@2UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,@9Comfort,BQ9a,@10Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001
W112,62,2,1,2,1,2,,10,10,2,7,6,56,2,1,0.25,1,,1,,,,1,,,1,0,0,4,3,2,3,-2,4,0,1,1,1,2,2,1,1,1,2,1,1,1,1.5,2,1,2,,2
W114,62,2,1,3,1,2,,10,10,2,2,1,0.5,1,0,0,,,1,,,,1,,,1,0,0,3,2,1,3,-2,3,-1,5,5,5,1,1,1,1,1,1,1,1,1,1,7,7,7,,4
W130,62,2,1,3,1,2,,10,10,1,5,4,12,2,1,0.25,1,,,,,,,,,1,0,0,5,4,3,3,-2,4,0,1,2,1,2,2,4,2,2,1,4,1,3,1,5,5,5,,3
W135,62,2,1,3,1,2,,7,7,1,5,4,12,2,1,0.25,1,,,,,,,,,1,0,0,3,2,1,3,-2,3,-1,2,2,1,2,2,2,1,3,1,2,3,2.5,2,5,6,4,,3
W136,62,2,1,2,1,2,,10,10,1,7,6,56,2,1,0.25,1,,,,,,,,,1,0,0,5,4,3,5,0,3,-1,1,1,1,7,7,7,1,7,4,7,4,7,4,10,6,10,,2
W161,62,2,1,3,1,2,,10,10,1,7,6,56,3,2,0.75,1,1,,,,,1,,,2,1,3,4,3,2,5,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,,3
W173,62,1,1,3,1,1,1,10,10,1,6,5,28,3,2,0.75,,,,,,,,,,6,5,23,4,3,2,6,1,4,0,2,2,6,6,6,6,6,7,7,7,7,7,7,6,7,7,,3
W175,62,2,1,3,5,2,,5,5,1,7,6,56,5,4,1.75,1,1,1,,,,1,,,1,0,0,5,4,3,6,1,3,-1,2,3,2,2,3,3,5,5,4,4,4,4.5,4,5,4,4,,4
W187,62,1,1,3,2,1,2,10,10,2,7,6,56,2,1,0.25,1,1,,,,,1,,,2,1,3,4,3,2,6,1,4,0,3,3,3,5,5,5,5,5,3,5,3,5,3,7,6,6,,4
W207,62,2,1,3,5,2,,10,10,1,7,6,56,3,2,0.75,1,1,,,,,1,,,1,0,0,4,3,2,6,1,4,0,3,2,4,4,3,3,4,5,3,5,3,5,3,8,7,8,,4
W282,62,1,1,3,1,2,,10,10,2,7,6,56,3,2,0.75,1,,,,,,1,,,1,0,0,5,4,3,7,2,5,1,1,1,1,5,5,5,1,7,1,7,1,7,1,6,9,8,,3
W286,62,2,1,3,1,2,,15,15,1,7,6,56,2,1,0.25,1,,,,,,1,,,1,0,0,5,4,3,6,1,5,1,1,1,1,7,6,4,7,7,1,7,1,7,1,3,3,3,,4
W305,62,2,1,3,5,2,,6,6,1,7,6,56,2,1,0.25,,,,,,,1,,,1,0,0,3,2,1,3,-2,4,0,5,5,5,2,2,1,1,2,1,2,1,2,1,2,2,2,,3
S7,63,2,1,3,2,2,,15,15,1,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,,,,5,0,5,1,3,3,3,4,5,2,5,5,2,3,2,5.6,2.8,5,5,7,,3
S30,63,1,1,2,2,2,,10,10,1,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,4,3,2,5,0,5,1,1,1,2,3,3,3,2,3,3,3,1,4.2,2.8,6,6,6,,2
S39,63,1,1,1,2,1,1,,,2,1,0,0,1,0,0,1,,,,1,,,,,1,0,0,,,,5,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
W003,63,1,1,3,1,2,,10,10,2,7,6,56,5,4,1.75,,,1,,,,1,,,1,0,0,5,4,3,5,0,4,0,1,1,1,4,5,3,5,5,1,5,1,5,1,6,6,6,,4
W040,63,2,1,3,1,2,,10,10,1,6,5,28,2,1,0.25,,,1,,,,1,,,1,0,0,5,4,3,4,-1,4,0,3,4,3,5,5,3,4,5,5,6,6,5.5,5.5,6,6,7,,3
